api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
05-103-11678,2215673,2011,2011,0,Vertical,WPX Energy Rocky Mountain LLC,39.940924,-108.340155,Pit,Overflow,Flood,Environmental Conditions,Drilling Waste,Drill Cuttings,2016,Yes,No,CO
05-045-18588,2215675,2011,2010,1,Directional,Caerus Piceance LLC,39.51136,-108.16583,Flowline,Leak,Disconnected,Human Error,Saltwater,Recycled Water,252,No,No,CO
05-045-15948,2215678,2011,2008,3,Directional,WPX Energy Rocky Mountain LLC,39.574473,-108.24064,Transport,Overflow,Loading/Unloading,Human Error,Hydraulic Fracture Solution,Unknown,1890,No,Yes,CO
05-045-19767,2215680,2010,2011,-1,Directional,Encana Oil & Gas Inc,39.674482,-108.119373,Manifold,NA,Fitting,Equipment Failure,Saltwater,Unknown,420,No,Yes,CO
05-045-13282,2215681,2011,2007,4,Directional,WPX Energy Rocky Mountain LLC,39.470226,-107.986022,Transport,Leak,Loading/Unloading,Human Error,Saltwater,Unknown,1050,No,No,CO
05-045-10553,2215685,2011,2005,6,Directional,Encana Oil & Gas Inc,39.600381,-108.151599,Transport,Overflow,Loading/Unloading,Equipment Failure,Saltwater,Unknown,210,No,Yes,CO
05-123-33702,2216013,2011,2011,0,Horizontal,Noble Energy Inc,40.26683,-104.79093,Separator,NA,Choke Body,Equipment Failure,Condensate & Saltwater,Unknown,609,No,No,CO
05-045-14574,2216363,2011,2008,3,Directional,WPX Energy Rocky Mountain LLC,39.51549,-107.56095,Tank,Overflow,Unknown,Human Error,Saltwater,Flowback,1260,No,Yes,CO
05-123-33363,2216508,2011,2011,0,Horizontal,Encana Oil & Gas Inc,40.197952,-104.999288,Wellhead,NA,Choke Body,Equipment Failure,Condensate,Unknown,NA,Yes,No,CO
05-103-11276,2216617,2011,2011,1,Directional,WPX Energy Rocky Mountain LLC,39.873691,-108.363399,Tank,NA,Valve,Human Error,Saltwater,Flowback,2100,No,Yes,CO
05-045-18258,2216806,2011,2011,1,Directional,Encana Oil & Gas Inc,39.467606,-107.643031,Flowline,Leak,Vandalism,Human Error,Crude Oil,Unknown,7056,No,Yes,CO
05-045-19392,2216891,2011,2014,-3,Directional,Ursa Operating LLC,39.533909,-107.620474,Flowline,Leak,Valve,Equipment Failure,Hydraulic Fracture Solution,Unknown,9072,No,Yes,CO
05-103-10938,2216906,2011,2007,4,Vertical,WPX Energy Rocky Mountain LLC,39.908659,-108.371094,Pit,Overflow,Transport Delay,Human Error,Saltwater,Unknown,588,No,Yes,CO
05-103-11850,2216908,2011,2011,0,Directional,WPX Energy Rocky Mountain LLC,40.014525,-108.441643,Tank,NA,Valve,Human Error,Saltwater,Flowback,630,No,Yes,CO
05-103-11850,2216913,2011,2011,0,Directional,WPX Energy Rocky Mountain LLC,40.014525,-108.441643,Transport,Overflow,Loading/Unloading,Human Error,Saltwater,Unknown,420,No,Yes,CO
